input,region,output,value
MIN,USA,SRV,0.0013350831488173035
ENR,USA,SRV,0.016020662338961177
CHM,USA,SRV,0.009719836352220321
TXL,USA,SRV,0.0005106027910394437
WDP,USA,SRV,0.006576968644006526
NMM,USA,SRV,0.010463190850499019
MAC,USA,SRV,0.0017178746316481328
ELE,USA,SRV,0.005266558513657871
VEH,USA,SRV,0.0026551930197575816
OTM,USA,SRV,0.0029291591880353887
SRV,USA,SRV,0.350017020303792
AGF,JPN,AGF,0.2688117402311938
MIN,JPN,AGF,0.0002162023246195798
ENR,JPN,AGF,0.012322068634711945
CHM,JPN,AGF,0.0528520004405306
TXL,JPN,AGF,0.002569791191211374
WDP,JPN,AGF,0.02529454835942076
NMM,JPN,AGF,0.018567840190426583
MAC,JPN,AGF,0.00027266444721506456
ELE,JPN,AGF,0.000532923559840296
VEH,JPN,AGF,0.0010619973282419177
OTM,JPN,AGF,0.012380487091092619
SRV,JPN,AGF,0.23661560063910086
AGF,JPN,MIN,0.0029740897163066794
MIN,JPN,MIN,0.013312092446508973
ENR,JPN,MIN,0.07322319034961146
CHM,JPN,MIN,0.05078724780562142
TXL,JPN,MIN,0.0016570122004711473
WDP,JPN,MIN,0.002587452193575932
NMM,JPN,MIN,0.01437336444437754
MAC,JPN,MIN,0.009960144548049145
ELE,JPN,MIN,0.004422939029746869
VEH,JPN,MIN,0.0005332563583260059
OTM,JPN,MIN,0.05774928079804565
SRV,JPN,MIN,0.35144501955487245
AGF,JPN,ENR,0.00048280256210267225
MIN,JPN,ENR,0.08208951952506151
ENR,JPN,ENR,0.6078975335001593
CHM,JPN,ENR,0.019418741789377098
TXL,JPN,ENR,0.00016144753677770573
WDP,JPN,ENR,0.0004433180691942823
NMM,JPN,ENR,0.002511418596436334
MAC,JPN,ENR,0.00024150648511054137
ELE,JPN,ENR,0.0003505547228827477
VEH,JPN,ENR,5.6596515113837176e-05
OTM,JPN,ENR,0.0035480345815119252
SRV,JPN,ENR,0.14510735674057368
AGF,JPN,CHM,0.0060292727220601595
MIN,JPN,CHM,0.007609489999400274
ENR,JPN,CHM,0.06881906560088392
CHM,JPN,CHM,0.29928323955636404
TXL,JPN,CHM,0.0018521025967227632
WDP,JPN,CHM,0.0075387461821202675
NMM,JPN,CHM,0.01587195725831847
MAC,JPN,CHM,0.002226415699365204
ELE,JPN,CHM,0.0020484697336942232
VEH,JPN,CHM,0.00031900231352951814
OTM,JPN,CHM,0.012130869981797108
SRV,JPN,CHM,0.2659074166997498
AGF,JPN,TXL,0.011356499377369721
MIN,JPN,TXL,0.0029011989508633327
ENR,JPN,TXL,0.014675957973116695
CHM,JPN,TXL,0.074593104854635
TXL,JPN,TXL,0.2101981286020411
WDP,JPN,TXL,0.008680005342607216
NMM,JPN,TXL,0.007357805086029758
MAC,JPN,TXL,0.0009812653601840718
ELE,JPN,TXL,0.0014409669813523081
VEH,JPN,TXL,0.0008032036745052686
OTM,JPN,TXL,0.0480403683108267
SRV,JPN,TXL,0.2511671934593441
AGF,JPN,WDP,0.01897810718770005
MIN,JPN,WDP,0.015361057207048757
ENR,JPN,WDP,0.0067759393341152415
CHM,JPN,WDP,0.06951580560309172
TXL,JPN,WDP,0.003952355709348511
WDP,JPN,WDP,0.24167603783229027
NMM,JPN,WDP,0.005178449301957196
MAC,JPN,WDP,0.00032657535154726315
ELE,JPN,WDP,0.000589249568808686
VEH,JPN,WDP,6.33969485414217e-05
OTM,JPN,WDP,0.011687913379035637
SRV,JPN,WDP,0.23262169209971556
AGF,JPN,NMM,0.0005643360852985995
MIN,JPN,NMM,0.051519189371973716
ENR,JPN,NMM,0.015641128893360067
CHM,JPN,NMM,0.01298105741582743
TXL,JPN,NMM,0.000695170501150018
WDP,JPN,NMM,0.002945240207649566
NMM,JPN,NMM,0.4079384616680357
MAC,JPN,NMM,0.0015091526492532169
ELE,JPN,NMM,0.0033962765644875493
VEH,JPN,NMM,0.0003023033489763993
OTM,JPN,NMM,0.008161020637363407
SRV,JPN,NMM,0.19516753407836296
AGF,JPN,MAC,0.0007230060127842626
MIN,JPN,MAC,0.0008268231549849724
ENR,JPN,MAC,0.0025442650782093903
CHM,JPN,MAC,0.023469382666205102
TXL,JPN,MAC,0.0008221873175188045
WDP,JPN,MAC,0.003194060494226198
NMM,JPN,MAC,0.14685867394493127
MAC,JPN,MAC,0.1492667110299817
ELE,JPN,MAC,0.04581444605076838
VEH,JPN,MAC,0.007708367373743078
OTM,JPN,MAC,0.01146215159804703
SRV,JPN,MAC,0.18121202409595064
AGF,JPN,ELE,0.000769425859674168
MIN,JPN,ELE,0.00152224183850891
ENR,JPN,ELE,0.0015408528959310306
CHM,JPN,ELE,0.03428700768620886
TXL,JPN,ELE,0.0011769609853316547
WDP,JPN,ELE,0.006347119307160351
NMM,JPN,ELE,0.10149010399622299
MAC,JPN,ELE,0.015040467400864474
ELE,JPN,ELE,0.21703497911028483
VEH,JPN,ELE,0.006025522154520856
OTM,JPN,ELE,0.011745486579359995
SRV,JPN,ELE,0.2065981321139852
AGF,JPN,VEH,0.0005535045343642512
MIN,JPN,VEH,0.0006739539739714121
ENR,JPN,VEH,0.0030436366614056214
CHM,JPN,VEH,0.039825820998777774
TXL,JPN,VEH,0.001059908061611671
WDP,JPN,VEH,0.0024753943739154235
NMM,JPN,VEH,0.10832317571723325
MAC,JPN,VEH,0.013476584905777949
ELE,JPN,VEH,0.05518916467905109
VEH,JPN,VEH,0.3351599138022419
OTM,JPN,VEH,0.009200459289548974
SRV,JPN,VEH,0.16487305110483272
AGF,JPN,OTM,0.005675884990272347
MIN,JPN,OTM,0.0005748105279672578
ENR,JPN,OTM,0.005248519963477582
CHM,JPN,OTM,0.06301771003474772
TXL,JPN,OTM,0.008391275403024442
WDP,JPN,OTM,0.042641816561782286
NMM,JPN,OTM,0.07294379861686659
MAC,JPN,OTM,0.03426678135828967
ELE,JPN,OTM,0.032573360445862544
VEH,JPN,OTM,0.020788280403695913
OTM,JPN,OTM,0.0948781130315967
SRV,JPN,OTM,0.21920850212645032
AGF,JPN,SRV,0.008693113945747252
MIN,JPN,SRV,0.0036479930871712828
ENR,JPN,SRV,0.027444338165013373
CHM,JPN,SRV,0.02431984525765078
TXL,JPN,SRV,0.0016531537695495945
WDP,JPN,SRV,0.012101502173219167
NMM,JPN,SRV,0.02054615132718879
MAC,JPN,SRV,0.004611536754534665
ELE,JPN,SRV,0.0036931605883688554
VEH,JPN,SRV,0.0029422587176885988
OTM,JPN,SRV,0.027939244558360922
SRV,JPN,SRV,0.2728173391121649
AGF,KOR,AGF,0.34702350351043604
MIN,KOR,AGF,0.0008925117888885261
ENR,KOR,AGF,0.0363341212491578
CHM,KOR,AGF,0.08353692599005665
TXL,KOR,AGF,0.002877281869757163
WDP,KOR,AGF,0.01883111528958224
NMM,KOR,AGF,0.019305256351846756
MAC,KOR,AGF,0.006280082220792273
ELE,KOR,AGF,0.004711327707814877
VEH,KOR,AGF,0.002042715776314855
OTM,KOR,AGF,0.006582256102841712
SRV,KOR,AGF,0.2223585316569833
AGF,KOR,MIN,0.0022012855648068444
MIN,KOR,MIN,0.035557859710356424
ENR,KOR,MIN,0.10981947766948587
CHM,KOR,MIN,0.060665315946330456
TXL,KOR,MIN,0.003453296183948156
WDP,KOR,MIN,0.0028009873316171877
NMM,KOR,MIN,0.028265865055362147
MAC,KOR,MIN,0.032061587395935925
ELE,KOR,MIN,0.01469092101011997
VEH,KOR,MIN,0.005578109740090635
OTM,KOR,MIN,0.018305093964097383
SRV,KOR,MIN,0.29964027345287214
AGF,KOR,ENR,0.00038821332541755883
MIN,KOR,ENR,0.008495968627159317
ENR,KOR,ENR,0.7417524489917721
CHM,KOR,ENR,0.02338214843961703
TXL,KOR,ENR,0.0003676087769979263
WDP,KOR,ENR,0.00030668844431228445
NMM,KOR,ENR,0.002188674881614278
MAC,KOR,ENR,0.002406361509332116
ELE,KOR,ENR,0.0013359646717410326
VEH,KOR,ENR,0.0003883233491925905
OTM,KOR,ENR,0.0016014346083501403
SRV,KOR,ENR,0.10048084905653704
AGF,KOR,CHM,0.007979468602560725
MIN,KOR,CHM,0.0038795620019508466
ENR,KOR,CHM,0.10421587165590605
CHM,KOR,CHM,0.4002735408795061
TXL,KOR,CHM,0.0053310613166875935
WDP,KOR,CHM,0.007007358169325187
NMM,KOR,CHM,0.017810057400103364
MAC,KOR,CHM,0.004512359388411122
ELE,KOR,CHM,0.00815716305131683
VEH,KOR,CHM,0.0014047463510803453
OTM,KOR,CHM,0.0038778639956153524
SRV,KOR,CHM,0.18143302456038982
AGF,KOR,TXL,0.01293902975393011
MIN,KOR,TXL,0.0006777252561025101
ENR,KOR,TXL,0.01593467733089983
CHM,KOR,TXL,0.126085292109617
TXL,KOR,TXL,0.3763154081402448
WDP,KOR,TXL,0.007690467013884357
NMM,KOR,TXL,0.00790336257878699
MAC,KOR,TXL,0.004084487992858511
ELE,KOR,TXL,0.0042329816064504725
VEH,KOR,TXL,0.0012122804563942222
OTM,KOR,TXL,0.008061208031746554
SRV,KOR,TXL,0.22575115823455322
AGF,KOR,WDP,0.028077466768783584
MIN,KOR,WDP,0.0014373697079726317
ENR,KOR,WDP,0.029917548689863845
CHM,KOR,WDP,0.11411181359205784
TXL,KOR,WDP,0.008648957573534044
WDP,KOR,WDP,0.25601322320288916
NMM,KOR,WDP,0.014898053648151758
MAC,KOR,WDP,0.009105724471282543
ELE,KOR,WDP,0.006834477478230553
VEH,KOR,WDP,0.001537003622036479
OTM,KOR,WDP,0.006609235022295463
SRV,KOR,WDP,0.21082238029689934
AGF,KOR,NMM,0.0006436659428783451
MIN,KOR,NMM,0.06028824352420896
ENR,KOR,NMM,0.045279637449725796
CHM,KOR,NMM,0.0378213063936267
TXL,KOR,NMM,0.0021638054172906374
WDP,KOR,NMM,0.004661223906951856
