region,sector,Y0,labor,capital
THA,CHM,61706.692,6964.077,13952.739960170755
THA,TXL,43403.385,2050.279,3190.20324259587
THA,WDP,12065.177,1071.089,2384.686023707225
THA,NMM,39019.814,3284.4349999999995,8196.091193001548
THA,MAC,16626.598,1606.108,2271.6461415139784
THA,ELE,106783.849,4101.958,11720.789366655998
THA,VEH,52019.201,3549.601,7562.176534372871
THA,OTM,35343.147,2570.883,2912.8727413421784
THA,SRV,515742.974,125082.24100000001,167890.4373463857
MYS,AGF,133194.796,6768.887,32144.875966960466
MYS,MIN,26460.305,2122.73,18403.136523492023
MYS,ENR,114882.588,1808.515,28986.06384328402
MYS,CHM,60517.361000000004,4900.978999999999,4332.169023832132
MYS,TXL,5644.264,-1824.3478803962178,1.0
MYS,WDP,18848.302,2109.891,1326.9070680886412
MYS,NMM,43509.907,3402.413,3400.2356849519933
MYS,MAC,9511.369,988.98,360.2274043028715
MYS,ELE,87202.60800000001,4819.610841333633,1.0
MYS,VEH,25054.609,1235.328,4462.201212357637
MYS,OTM,10381.184,1137.0272206114496,1.0
MYS,SRV,469855.93799999997,108131.008,133679.03587724853
IDN,AGF,423099.048,83453.415,148900.61274118134
IDN,MIN,148121.134,21519.07,97555.63344576515
IDN,ENR,160215.528,8740.662,52284.36144230951
IDN,CHM,101510.568,8633.578000000001,15155.158602670803
IDN,TXL,70171.268,9407.329,3691.4285194906097
IDN,WDP,57641.969,6013.6669999999995,6475.361457530869
IDN,NMM,113003.74,10941.445,46547.62982545191
IDN,MAC,16014.617,1782.658,1972.4788915716667
IDN,ELE,62967.524000000005,5669.032,11126.238589294815
IDN,VEH,72383.869,6447.0650000000005,7278.063558317432
IDN,OTM,16743.24,2462.147,2455.5101295175673
IDN,SRV,1165519.305,305578.613,403694.56307892734
SGP,AGF,10786.661,1658.824,1646.6679954189945
SGP,MIN,15.0,0.0,15.0
SGP,ENR,31211.033,-5405.0675006895435,1.0
SGP,CHM,55677.788,3671.049,7372.5667192393585
SGP,TXL,613.88,-465.9655904753994,1.0
SGP,WDP,1779.446,358.943,193.3055449928188
SGP,NMM,8456.368,-1237.3282767512883,1.0
SGP,MAC,26587.081,3387.296,4768.067938901675
SGP,ELE,136084.265,6124.1410000000005,38603.21221360512
SGP,VEH,13779.624,1235.0515945943007,1.0
SGP,OTM,14741.549,1573.983,646.0867750702221
SGP,SRV,868381.509,145668.312,181015.10366258738
PHL,AGF,189838.19400000002,23317.307,44415.420286548164
PHL,MIN,5845.66,589.496,3138.4895075269883
PHL,ENR,12923.967999999999,478.794,1639.3236345249643
PHL,CHM,27572.218,2574.22,5509.717215877297
PHL,TXL,5139.999,-2288.5768994625687,1.0
PHL,WDP,4297.023,420.375,963.3621032460605
PHL,NMM,10179.8,846.269,1474.0649233105707
PHL,MAC,1828.777,217.243,290.86026898101176
PHL,ELE,25417.465,1822.6399999999999,2815.217862833651
PHL,VEH,4942.675,429.781,67.30483033259856
PHL,OTM,4238.795,667.857,1075.0429945236492
PHL,SRV,443372.305,111270.38,153477.80381934857
IND,AGF,1055538.8730000001,98557.688,510115.6482071725
IND,MIN,78621.31,14028.735,29624.845172714296
IND,ENR,250079.083,9313.675,58606.13347718115
IND,CHM,335304.222,23154.126,38547.35975722234
IND,TXL,227102.022,15768.036,42321.77104573888
IND,WDP,67005.63399999999,5116.977,16631.07777084576
IND,NMM,484344.43700000003,24612.58,88848.74926289411
IND,MAC,101139.422,6550.76,25531.891285046666
IND,ELE,122928.33499999999,5791.862999999999,20369.7189680992
IND,VEH,201355.701,10762.658,39116.50543150891
IND,OTM,97153.491,5583.87,21481.764636992124
IND,SRV,3277108.814,805964.394,1221353.2139725117
MEX,AGF,278553.889,22851.39,109012.95205771581
MEX,MIN,40445.626,2809.409,19892.895810421436
MEX,ENR,90641.281,2132.637,34674.230839546784
MEX,CHM,105224.316,9727.187,23952.08124031296
MEX,TXL,21259.094,3831.975,4567.907682603383
MEX,WDP,29723.984,3145.806,7575.929977509095
MEX,NMM,126348.41500000001,9619.151,30631.44667068444
MEX,MAC,40532.55,6359.626,7854.64783264534
MEX,ELE,156112.644,20605.866,17280.44613498197
MEX,VEH,223500.73500000002,12932.607,53966.291214368786
MEX,OTM,31409.16,5224.418,5812.357439149744
MEX,SRV,1450921.34,299418.945,721856.2967333316
ROW,AGF,3549772.4620000008,384616.844,1049797.3087380826
ROW,MIN,1022284.344,111354.917,451404.9910981236
ROW,ENR,2453686.0059999996,146167.653,1466693.3046378978
ROW,CHM,1324963.904,161160.51499999998,278600.17312101775
ROW,TXL,459699.61899999995,100462.917,91441.04436310388
ROW,WDP,438822.2990000001,72848.772,84543.3149526596
ROW,NMM,1502431.1149999995,204023.27,286195.3537952283
ROW,MAC,355604.92000000004,73124.21,27632.10611906195
ROW,ELE,1175292.4675521003,136919.215,405412.28683933185
ROW,VEH,683743.4419999998,102045.60399999999,21368.821915921813
ROW,OTM,396816.10899999994,81534.734,71368.38149631507
ROW,SRV,26301445.777999997,7380922.251,7352772.426898789
