origin,sector,destination,value
USA,ENR,PHL,83.4354057932115
USA,ENR,IND,13256.336547773928
USA,ENR,MEX,45531.07815959525
USA,ENR,ROW,196938.94614979005
USA,CHM,CHN,18159.470179083582
USA,CHM,USA,1092577.275
USA,CHM,JPN,10710.535390590485
USA,CHM,KOR,6438.2184275520995
USA,CHM,EU27,1.0
USA,CHM,VNM,1292.0004908043015
USA,CHM,THA,1358.0190570128827
USA,CHM,MYS,1244.09566146444
USA,CHM,IDN,990.472601867006
USA,CHM,SGP,3581.527676531742
USA,CHM,PHL,559.4350276687503
USA,CHM,IND,4108.391975065759
USA,CHM,MEX,28533.916321159773
USA,CHM,ROW,132340.64219119918
USA,TXL,CHN,547.9729720104015
USA,TXL,USA,57537.937000000005
USA,TXL,JPN,318.0995903219196
USA,TXL,KOR,184.49779769840455
USA,TXL,EU27,1.0
USA,TXL,VNM,248.59506406979477
USA,TXL,THA,67.55585141724
USA,TXL,MYS,51.61655807836927
USA,TXL,IDN,70.28150570019216
USA,TXL,SGP,63.85653505896108
USA,TXL,PHL,18.832643228644542
USA,TXL,IND,72.82614059598305
USA,TXL,MEX,3906.64820756408
USA,TXL,ROW,9232.61113425601
USA,WDP,CHN,3718.0069752880145
USA,WDP,USA,431756.961
USA,WDP,JPN,1763.046194713484
USA,WDP,KOR,613.2420763688417
USA,WDP,EU27,1.0
USA,WDP,VNM,640.5006087948111
USA,WDP,THA,530.6511885793949
USA,WDP,MYS,260.0451566404539
USA,WDP,IDN,578.4847441091434
USA,WDP,SGP,52.83433085615903
USA,WDP,PHL,158.05084669045758
USA,WDP,IND,1093.1137712541101
USA,WDP,MEX,5853.42945598415
USA,WDP,ROW,17353.052650720983
USA,NMM,CHN,5772.47703610942
USA,NMM,USA,909395.0329999999
USA,NMM,JPN,3278.0394996771056
USA,NMM,KOR,2141.190902220743
USA,NMM,EU27,1.0
USA,NMM,VNM,497.367964103317
USA,NMM,THA,919.4847078156845
USA,NMM,MYS,1591.3293083425683
USA,NMM,IDN,162.02182030874818
USA,NMM,SGP,841.7642915764494
USA,NMM,PHL,152.50935744370307
USA,NMM,IND,5416.918580556745
USA,NMM,MEX,18625.053433780966
USA,NMM,ROW,55015.73609806456
USA,MAC,CHN,7053.3407628740615
USA,MAC,USA,345221.907
USA,MAC,JPN,3153.1878487729305
USA,MAC,KOR,4917.9540845350075
USA,MAC,EU27,1.0
USA,MAC,VNM,173.90424303851114
USA,MAC,THA,574.4186347744196
USA,MAC,MYS,867.6350868876723
USA,MAC,IDN,446.631145636399
USA,MAC,SGP,3074.3522370939627
USA,MAC,PHL,232.75986963794568
USA,MAC,IND,1102.6584060878085
USA,MAC,MEX,17367.824821576243
USA,MAC,ROW,62626.67285908503
USA,ELE,CHN,11350.049894736489
USA,ELE,USA,514292.08499999996
USA,ELE,JPN,4695.833609601478
USA,ELE,KOR,3627.5122111022756
USA,ELE,EU27,1.0
USA,ELE,VNM,940.6245836825263
USA,ELE,THA,1446.2304391796172
USA,ELE,MYS,3224.8699572111937
USA,ELE,IDN,212.5385991356415
USA,ELE,SGP,3417.040320995583
USA,ELE,PHL,1149.0248481553442
USA,ELE,IND,1628.4013435943232
USA,ELE,MEX,27579.50502467392
USA,ELE,ROW,72829.5461679316
USA,VEH,CHN,9396.366217089719
USA,VEH,USA,902457.753
USA,VEH,JPN,3184.478345251413
USA,VEH,KOR,6030.71370898538
USA,VEH,EU27,1.0
USA,VEH,VNM,235.63706990415957
USA,VEH,THA,1259.4361867363516
USA,VEH,MYS,327.6276902490327
USA,VEH,IDN,179.67030321990964
USA,VEH,SGP,903.3740616848287
USA,VEH,PHL,138.47737915161022
USA,VEH,IND,1224.733197860102
USA,VEH,MEX,31085.094408304805
USA,VEH,ROW,131103.3504315627
USA,OTM,CHN,1934.8046399914056
USA,OTM,USA,257217.174
USA,OTM,JPN,1970.5003648139098
USA,OTM,KOR,1291.8654426559206
USA,OTM,EU27,1.0
USA,OTM,VNM,95.659028294491
USA,OTM,THA,269.01030741272956
USA,OTM,MYS,255.7661168894131
USA,OTM,IDN,73.36201682442345
USA,OTM,SGP,1139.2648086495763
USA,OTM,PHL,102.79477177202541
USA,OTM,IND,594.3677344062496
USA,OTM,MEX,8274.454513372128
USA,OTM,ROW,36721.65525491773
USA,SRV,CHN,75026.52714833942
USA,SRV,USA,35035815.258999996
USA,SRV,JPN,66145.43193466778
USA,SRV,KOR,32783.410232253234
