region,sector,Y0,labor,capital
IND,TXL,227102.022,15768.036,42332.126436526094
IND,WDP,67005.63399999999,5116.977,16634.129675901393
IND,NMM,484344.43700000003,24612.58,88860.27137373901
IND,MAC,101139.422,6550.76,25536.500891977128
IND,ELE,122928.33499999999,5791.862999999999,20377.928068957248
IND,VEH,201355.701,10762.658,39127.63700055174
IND,OTM,97153.491,5583.87,21486.62133082667
IND,SRV,3277108.814,805964.394,1221383.269823886
CAN,AGF,225629.794,30965.872,39722.76388569968
CAN,MIN,71978.26199999999,17889.56,30249.498588096973
CAN,ENR,202875.353,10195.719,90953.37620325737
CAN,CHM,90054.914,15833.807,15586.634803844943
CAN,TXL,6806.788,1888.534,755.0207863647179
CAN,WDP,79320.303,13891.254,15494.819400547232
CAN,NMM,140366.096,21399.223,16043.620999702554
CAN,MAC,38485.8,10461.397,4758.716675445929
CAN,ELE,25563.673000000003,7146.506,3336.7585365076347
CAN,VEH,97003.41,16551.809999999998,6250.290740593395
CAN,OTM,39965.671,11922.946,3448.479662492886
CAN,SRV,2781714.722,925101.005,737139.5410301274
MEX,AGF,278553.889,22851.39,109039.26582108748
MEX,MIN,40445.626,2809.409,19883.140946490083
MEX,ENR,90641.281,2132.637,34668.31632417603
MEX,CHM,105224.316,9727.187,23967.45468938414
MEX,TXL,21259.094,3831.975,4577.90598183025
MEX,WDP,29723.984,3145.806,7583.650297253269
MEX,NMM,126348.41500000001,9619.151,30600.17830617832
MEX,MAC,40532.55,6359.626,7864.8543502961875
MEX,ELE,156112.644,20605.866,17335.38868792187
MEX,VEH,223500.73500000002,12932.607,54017.4547333354
MEX,OTM,31409.16,5224.418,5863.563076946777
MEX,SRV,1450921.34,299418.945,722030.4066594262
BRA,AGF,487354.728,34727.805,134983.0088324459
BRA,MIN,78391.18699999999,4325.005,40067.85603749043
BRA,ENR,243421.14,48038.694,23469.422659081654
BRA,CHM,177607.999,16442.493,23717.87630618668
BRA,TXL,44332.752,8730.228,6294.810405836968
BRA,WDP,49908.388999999996,5992.243,7509.782536036395
BRA,NMM,158858.625,14522.067,33084.00564888728
BRA,MAC,50360.646,7175.622,6575.486420359312
BRA,ELE,58976.349,5883.823,6161.057504324253
BRA,VEH,95086.82199999999,10858.274,6292.394020887417
BRA,OTM,45653.914,8070.65,9949.370231206596
BRA,SRV,2166743.094,640190.789,642881.4408704533
ZAF,AGF,62155.447,6544.9980000000005,11281.155138881331
ZAF,MIN,63973.32399999999,8576.565,17257.88134164465
ZAF,ENR,24792.229,909.411,3959.0194625913828
ZAF,CHM,19570.855,3009.421,2161.667605096431
ZAF,TXL,5157.516,805.041,860.5186675774522
ZAF,WDP,10234.071,1458.958,2037.494851806427
ZAF,NMM,32114.635,3860.782,4154.851600450517
ZAF,MAC,8840.465,1919.867,1139.9195690766621
ZAF,ELE,6004.268,1069.344,493.68924524952945
ZAF,VEH,19885.198,2106.8379999999997,2185.731757464404
ZAF,OTM,5832.626,1599.318,1214.4446700310039
ZAF,SRV,520515.699,159294.54200000002,137981.26025658392
RUS,AGF,352472.471,35362.325,87485.7232685268
RUS,MIN,163754.937,9401.98,31258.27863631678
RUS,ENR,356635.587,11348.512999999999,191228.1471249756
RUS,CHM,112474.993,14100.507,21673.029727061454
RUS,TXL,15011.281,2585.457,2791.8403947681513
RUS,WDP,47177.592,5698.754,9797.585486588316
RUS,NMM,272947.855,29544.581,55836.17260453915
RUS,MAC,29783.475,6302.212,3010.7012561593065
RUS,ELE,51342.298,10940.955,6917.336928241721
RUS,VEH,110065.947,13130.323,14676.400453183076
RUS,OTM,44796.912,10062.015,7734.158841127421
RUS,SRV,2538315.576,668577.9330000001,808761.6661978232
SAU,AGF,88892.42,8517.985,39901.16076941161
