origin,sector,destination,value
USA,WDP,USA,431756.961
USA,WDP,EU27,1.0
USA,WDP,JPN,1763.046194713484
USA,WDP,KOR,613.2420763688417
USA,WDP,IND,1093.1137712541101
USA,WDP,CAN,7948.038160373355
USA,WDP,MEX,5853.42945598415
USA,WDP,BRA,176.84461270577765
USA,WDP,ZAF,129.32572033828444
USA,WDP,RUS,19.067564146485374
USA,WDP,SAU,102.7825872793777
USA,WDP,AUS,198.69706823602598
USA,WDP,ROW,10998.863813312095
USA,NMM,CHN,5772.47703610942
USA,NMM,USA,909395.0329999999
USA,NMM,EU27,1.0
USA,NMM,JPN,3278.0394996771056
USA,NMM,KOR,2141.190902220743
USA,NMM,IND,5416.918580556745
USA,NMM,CAN,21232.184131083974
USA,NMM,MEX,18625.053433780966
USA,NMM,BRA,787.7426113565894
USA,NMM,ZAF,368.417656183283
USA,NMM,RUS,36.64794609411941
USA,NMM,SAU,280.02088038625374
USA,NMM,AUS,583.8699389510823
USA,NMM,ROW,35891.33038359973
USA,MAC,CHN,7053.3407628740615
USA,MAC,USA,345221.907
USA,MAC,EU27,1.0
USA,MAC,JPN,3153.1878487729305
USA,MAC,KOR,4917.9540845350075
USA,MAC,IND,1102.6584060878085
USA,MAC,CAN,22979.814206276005
USA,MAC,MEX,17367.824821576243
USA,MAC,BRA,2384.485027454439
USA,MAC,ZAF,646.640686929785
USA,MAC,RUS,185.31515619762143
USA,MAC,SAU,959.3797036209536
USA,MAC,AUS,3190.192971820655
USA,MAC,ROW,37650.54632385448
USA,ELE,CHN,11350.049894736489
USA,ELE,USA,514292.08499999996
USA,ELE,EU27,1.0
USA,ELE,JPN,4695.833609601478
USA,ELE,KOR,3627.5122111022756
USA,ELE,IND,1628.4013435943232
USA,ELE,CAN,17748.031126039867
USA,ELE,MEX,27579.50502467392
USA,ELE,BRA,2514.1088532491185
USA,ELE,ZAF,321.2950499307245
USA,ELE,RUS,129.72844204632165
USA,ELE,SAU,584.52886943744
USA,ELE,AUS,2108.475112507375
USA,ELE,ROW,59813.707463080675
USA,VEH,CHN,9396.366217089719
USA,VEH,USA,902457.753
USA,VEH,EU27,1.0
USA,VEH,JPN,3184.478345251413
USA,VEH,KOR,6030.71370898538
USA,VEH,IND,1224.733197860102
USA,VEH,CAN,68210.81172850114
USA,VEH,MEX,31085.094408304805
USA,VEH,BRA,1719.51319188907
USA,VEH,ZAF,1096.7036241636263
USA,VEH,RUS,201.71580599879812
USA,VEH,SAU,3569.5494122737236
USA,VEH,AUS,5096.284730461266
USA,VEH,ROW,54252.99462922095
USA,OTM,CHN,1934.8046399914056
USA,OTM,USA,257217.174
USA,OTM,EU27,1.0
USA,OTM,JPN,1970.5003648139098
USA,OTM,KOR,1291.8654426559206
USA,OTM,IND,594.3677344062496
USA,OTM,CAN,12142.514451595773
USA,OTM,MEX,8274.454513372128
USA,OTM,BRA,493.7492965974717
USA,OTM,ZAF,106.06037590489977
USA,OTM,RUS,50.625367214404825
USA,OTM,SAU,461.22814180144655
USA,OTM,AUS,1072.8447888238313
USA,OTM,ROW,24330.489882822552
USA,SRV,CHN,75026.52714833942
USA,SRV,USA,35035815.258999996
USA,SRV,EU27,442422.8353203787
USA,SRV,JPN,66145.4319346678
USA,SRV,KOR,32783.41023225324
USA,SRV,IND,44981.27510447635
USA,SRV,CAN,102012.8024396448
USA,SRV,MEX,43540.325803611806
USA,SRV,BRA,31844.22906268941
USA,SRV,ZAF,4262.683770429731
USA,SRV,RUS,3962.0106454132438
USA,SRV,SAU,14263.635880793356
USA,SRV,AUS,27650.446712801375
USA,SRV,ROW,466152.3839445008
EU27,AGF,CHN,16774.86913425
EU27,AGF,USA,30395.243360475004
EU27,AGF,EU27,1771399.3016461544
EU27,AGF,JPN,8795.092939423
EU27,AGF,KOR,4782.580473401
EU27,AGF,IND,1381.261433817
EU27,AGF,CAN,5102.105540723
EU27,AGF,MEX,2099.113053964
EU27,AGF,BRA,2433.249236315
EU27,AGF,ZAF,2052.090626917
EU27,AGF,RUS,7336.176518373
EU27,AGF,SAU,4979.569849385
EU27,AGF,AUS,4102.052263297
EU27,AGF,ROW,153239.53992350496
EU27,MIN,CHN,474.918331621
EU27,MIN,USA,242.52968763199996
EU27,MIN,EU27,82690.57419966401
EU27,MIN,JPN,40.484599901
EU27,MIN,KOR,35.580191235
EU27,MIN,IND,193.88567626499997
EU27,MIN,CAN,49.807084624
EU27,MIN,MEX,56.802654108000006
EU27,MIN,BRA,73.978500668
EU27,MIN,ZAF,22.072411066
EU27,MIN,RUS,51.894692456
EU27,MIN,SAU,46.678956281999994
EU27,MIN,AUS,27.51052268
EU27,MIN,ROW,2368.5954917980002
EU27,ENR,CHN,981.006312983
EU27,ENR,USA,19643.764983685
EU27,ENR,EU27,452370.3892267539
EU27,ENR,JPN,420.956508917
EU27,ENR,KOR,871.9949083540001
EU27,ENR,IND,967.324394374
EU27,ENR,CAN,3085.866808437
EU27,ENR,MEX,2072.480600089
EU27,ENR,BRA,2410.6137801540003
EU27,ENR,ZAF,1425.091693473
EU27,ENR,RUS,510.403833776
EU27,ENR,SAU,1306.7012933199999
EU27,ENR,AUS,136.420342866
EU27,ENR,ROW,143455.285312818
EU27,CHM,CHN,41325.006708687
EU27,CHM,USA,158345.27326625306
EU27,CHM,EU27,990380.4099421201
EU27,CHM,JPN,24158.094984008
EU27,CHM,KOR,12190.248429568
EU27,CHM,IND,8515.45207633
EU27,CHM,CAN,12086.381042185001
EU27,CHM,MEX,10239.977054678
EU27,CHM,BRA,14473.546906513
EU27,CHM,ZAF,5966.989217996001
EU27,CHM,RUS,19540.270214399996
EU27,CHM,SAU,7471.418547209001
EU27,CHM,AUS,9804.583679742
EU27,CHM,ROW,272866.8739303109
EU27,TXL,CHN,9228.541638925
EU27,TXL,USA,15887.092789470002
EU27,TXL,EU27,116892.12121022407
EU27,TXL,JPN,3775.331374553
EU27,TXL,KOR,4221.844665015999
EU27,TXL,IND,594.9001989039999
EU27,TXL,CAN,2093.814599766
EU27,TXL,MEX,1617.196304361
EU27,TXL,BRA,572.4056522330001
EU27,TXL,ZAF,394.42059116700005
EU27,TXL,RUS,2852.368215387
EU27,TXL,SAU,708.149203903
EU27,TXL,AUS,1194.6463706989998
EU27,TXL,ROW,66842.305185392
EU27,WDP,CHN,6002.795903143999
EU27,WDP,USA,9160.016807611999
EU27,WDP,EU27,432325.6538376401
EU27,WDP,JPN,2287.1149758059996
EU27,WDP,KOR,660.272418495
EU27,WDP,IND,1483.741396984
EU27,WDP,CAN,672.825558483
EU27,WDP,MEX,1112.55206215
EU27,WDP,BRA,412.225641656
EU27,WDP,ZAF,723.373676587
EU27,WDP,RUS,928.4663976229999
EU27,WDP,SAU,979.130652248
EU27,WDP,AUS,1070.608857212
EU27,WDP,ROW,39661.928814360006
EU27,NMM,CHN,15488.709910124
EU27,NMM,USA,38729.644959601996
EU27,NMM,EU27,1234085.774077704
EU27,NMM,JPN,3673.9381765229996
EU27,NMM,KOR,3567.023732904999
EU27,NMM,IND,10445.550272328
EU27,NMM,CAN,4490.892153748
EU27,NMM,MEX,4906.013876057
EU27,NMM,BRA,3962.1485366540005
EU27,NMM,ZAF,1839.954506929
EU27,NMM,RUS,4165.423897941
EU27,NMM,SAU,2239.161006146
EU27,NMM,AUS,2332.19369517
EU27,NMM,ROW,120829.09719816904
EU27,MAC,CHN,41823.003256031
EU27,MAC,USA,83713.604429965
EU27,MAC,EU27,405324.0219331131
EU27,MAC,JPN,7269.5264632319995
EU27,MAC,KOR,13797.203842322
EU27,MAC,IND,10313.397013088
EU27,MAC,CAN,8717.901052437
EU27,MAC,MEX,10574.218356555
EU27,MAC,BRA,8658.429596109001
EU27,MAC,ZAF,4639.401902417
EU27,MAC,RUS,10161.866464899
EU27,MAC,SAU,4626.51390455
EU27,MAC,AUS,7855.86967216
EU27,MAC,ROW,162014.735113122
EU27,ELE,CHN,53063.634485061986
EU27,ELE,USA,69057.859564429
EU27,ELE,EU27,367813.3494787461
EU27,ELE,JPN,8919.689656485001
EU27,ELE,KOR,8400.324844315
EU27,ELE,IND,7363.661527789999
EU27,ELE,CAN,4083.07811822
EU27,ELE,MEX,8046.032753069
EU27,ELE,BRA,4412.289161588001
EU27,ELE,ZAF,4282.96430778
EU27,ELE,RUS,5795.199827517
EU27,ELE,SAU,3936.188568059
EU27,ELE,AUS,4645.531229886
EU27,ELE,ROW,183502.1454770539
EU27,VEH,CHN,45689.146353697
EU27,VEH,USA,72035.176703734
EU27,VEH,EU27,953195.8360123518
EU27,VEH,JPN,9956.409834476
EU27,VEH,KOR,11799.631638547
EU27,VEH,IND,6243.258577415
EU27,VEH,CAN,6021.171757587999
EU27,VEH,MEX,8169.233107639999
EU27,VEH,BRA,5170.498659873
EU27,VEH,ZAF,4587.0899794570005
EU27,VEH,RUS,2986.517699952
EU27,VEH,SAU,4681.724495503
EU27,VEH,AUS,6536.656118201
EU27,VEH,ROW,171371.594061565
EU27,OTM,CHN,7476.813379576
EU27,OTM,USA,25905.010818487997
EU27,OTM,EU27,396758.63225654996
EU27,OTM,JPN,2732.517091464
EU27,OTM,KOR,2053.3981615969997
EU27,OTM,IND,1482.614185299
EU27,OTM,CAN,2374.5942443940003
EU27,OTM,MEX,2374.654695703
EU27,OTM,BRA,1136.1251980920001
EU27,OTM,ZAF,1345.3267474479999
EU27,OTM,RUS,2973.324546494
EU27,OTM,SAU,1453.891775293
EU27,OTM,AUS,2161.202318632
EU27,OTM,ROW,77399.33258097
EU27,SRV,CHN,76087.74315600001
EU27,SRV,USA,252598.795757
EU27,SRV,EU27,22299446.555809002
EU27,SRV,JPN,39566.017291
EU27,SRV,KOR,23285.335968999996
EU27,SRV,IND,33597.393304000005
EU27,SRV,CAN,22404.578852
EU27,SRV,MEX,21706.579826
EU27,SRV,BRA,22535.901318999997
EU27,SRV,ZAF,9895.945347
EU27,SRV,RUS,25900.652326999996
EU27,SRV,SAU,18038.949263
EU27,SRV,AUS,22629.955529999996
EU27,SRV,ROW,718106.36625
JPN,AGF,CHN,1461.7711032705809
JPN,AGF,USA,1062.948034470105
JPN,AGF,EU27,1.0
JPN,AGF,JPN,356199.33
JPN,AGF,KOR,346.7159832338768
JPN,AGF,IND,24.48573085917665
JPN,AGF,CAN,90.6485079492707
JPN,AGF,MEX,10.546490556758503
JPN,AGF,BRA,8.904091705539935
JPN,AGF,ZAF,11.930331549905606
JPN,AGF,RUS,17.02536094492627
JPN,AGF,SAU,11.451731632262096
JPN,AGF,AUS,157.11943321211223
JPN,AGF,ROW,4012.107200615485
JPN,MIN,CHN,314.9784622359843
JPN,MIN,USA,78.28061519713285
JPN,MIN,EU27,1.0
JPN,MIN,JPN,7874.28409576959
JPN,MIN,KOR,118.09499919357837
JPN,MIN,IND,41.876275782093934
JPN,MIN,CAN,9.271004397556174
JPN,MIN,MEX,1.3267585107669349
JPN,MIN,BRA,1.0
JPN,MIN,ZAF,1.3017630780537623
JPN,MIN,RUS,1.0
JPN,MIN,SAU,1.0
JPN,MIN,AUS,26.28028932650921
JPN,MIN,ROW,319.1517365087345
JPN,ENR,CHN,1219.5742512774177
JPN,ENR,USA,1123.187892183622
JPN,ENR,EU27,1.0
JPN,ENR,JPN,149235.859
JPN,ENR,KOR,2419.8998519899533
JPN,ENR,IND,228.67044358265466
JPN,ENR,CAN,7.532030423365595
JPN,ENR,MEX,279.66595862692134
JPN,ENR,BRA,63.330333093726104
JPN,ENR,ZAF,27.967581731618118
JPN,ENR,RUS,58.10582370169269
JPN,ENR,SAU,5.882523527224463
JPN,ENR,AUS,2097.7010654019873
JPN,ENR,ROW,5545.791244459816
JPN,CHM,CHN,20257.576691144153
