origin,sector,destination,rate
USA,WDP,MEX,0.00850421255415791
USA,WDP,BRA,0.047867847882883945
USA,WDP,ZAF,0.04964408763997521
USA,WDP,RUS,0.04367451958393232
USA,WDP,SAU,0.031396862169499384
USA,WDP,AUS,0.05049327754048086
USA,WDP,ROW,0.019432106060789024
USA,NMM,CHN,0.02342219606169067
USA,NMM,USA,0.0
USA,NMM,EU27,0.009370241641696574
USA,NMM,JPN,0.006427139321615384
USA,NMM,KOR,0.008869497808284558
USA,NMM,IND,0.028439854882735656
USA,NMM,CAN,0.010652886987221378
USA,NMM,MEX,0.010762368978163198
USA,NMM,BRA,0.047867847882883945
USA,NMM,ZAF,0.04964408763997521
USA,NMM,RUS,0.04367451958393232
USA,NMM,SAU,0.031396862169499384
USA,NMM,AUS,0.05049327754048086
USA,NMM,ROW,0.019432106060789024
USA,MAC,CHN,0.023533307055158163
USA,MAC,USA,0.0
USA,MAC,EU27,0.007331254624166747
USA,MAC,JPN,0.0
USA,MAC,KOR,0.010484775394644081
USA,MAC,IND,0.023514691571827805
USA,MAC,CAN,0.010652886987221378
USA,MAC,MEX,0.006062175433793007
USA,MAC,BRA,0.047867847882883945
USA,MAC,ZAF,0.04964408763997521
USA,MAC,RUS,0.04367451958393232
USA,MAC,SAU,0.031396862169499384
USA,MAC,AUS,0.05049327754048086
USA,MAC,ROW,0.019432106060789024
USA,ELE,CHN,0.017942375020833068
USA,ELE,USA,0.0
USA,ELE,EU27,0.00791646728872309
USA,ELE,JPN,0.00044590529186840045
USA,ELE,KOR,0.00851183199299413
USA,ELE,IND,0.03078463983312222
USA,ELE,CAN,0.010652886987221378
USA,ELE,MEX,0.0073773893031126424
USA,ELE,BRA,0.047867847882883945
USA,ELE,ZAF,0.04964408763997521
USA,ELE,RUS,0.04367451958393232
USA,ELE,SAU,0.031396862169499384
USA,ELE,AUS,0.05049327754048086
USA,ELE,ROW,0.019432106060789024
USA,VEH,CHN,0.031155678801243102
USA,VEH,USA,0.0
USA,VEH,EU27,0.020925288615612513
USA,VEH,JPN,0.00030477180056731504
USA,VEH,KOR,0.010011625738909076
USA,VEH,IND,0.08301818057928781
USA,VEH,CAN,0.010652886987221378
USA,VEH,MEX,0.018714355607361986
USA,VEH,BRA,0.047867847882883945
USA,VEH,ZAF,0.04964408763997521
USA,VEH,RUS,0.04367451958393232
USA,VEH,SAU,0.031396862169499384
USA,VEH,AUS,0.05049327754048086
USA,VEH,ROW,0.019432106060789024
USA,OTM,CHN,0.021461064399932894
USA,OTM,USA,0.0
USA,OTM,EU27,0.008080070558563772
USA,OTM,JPN,0.005707618186467684
USA,OTM,KOR,0.008749585918433875
USA,OTM,IND,0.037889771285152585
USA,OTM,CAN,0.010652886987221378
USA,OTM,MEX,0.010647132086909603
USA,OTM,BRA,0.047867847882883945
USA,OTM,ZAF,0.04964408763997521
USA,OTM,RUS,0.04367451958393232
USA,OTM,SAU,0.031396862169499384
USA,OTM,AUS,0.05049327754048086
USA,OTM,ROW,0.019432106060789024
USA,SRV,CHN,0.0
USA,SRV,USA,0.0
USA,SRV,EU27,0.0
USA,SRV,JPN,0.0
USA,SRV,KOR,0.0
USA,SRV,IND,0.0
USA,SRV,CAN,0.0
USA,SRV,MEX,0.0
USA,SRV,BRA,0.0
USA,SRV,ZAF,0.0
USA,SRV,RUS,0.0
USA,SRV,SAU,0.0
USA,SRV,AUS,0.0
USA,SRV,ROW,0.0
EU27,AGF,CHN,0.04019203914623782
EU27,AGF,USA,0.0408894158015213
EU27,AGF,EU27,0.0
EU27,AGF,JPN,0.04172342870576145
EU27,AGF,KOR,0.07565666227470713
EU27,AGF,IND,0.10365353595600978
EU27,AGF,CAN,0.010652886987221378
EU27,AGF,MEX,0.02884664690494927
EU27,AGF,BRA,0.047867847882883945
EU27,AGF,ZAF,0.04964408763997521
EU27,AGF,RUS,0.04367451958393232
EU27,AGF,SAU,0.031396862169499384
EU27,AGF,AUS,0.05049327754048086
EU27,AGF,ROW,0.019432106060789024
EU27,MIN,CHN,0.009892834105055112
EU27,MIN,USA,0.0408894158015213
EU27,MIN,EU27,0.0
EU27,MIN,JPN,0.0008850802491427391
EU27,MIN,KOR,0.004240081635678352
EU27,MIN,IND,0.018702745673827653
EU27,MIN,CAN,0.010652886987221378
EU27,MIN,MEX,0.00027102587174712066
EU27,MIN,BRA,0.047867847882883945
EU27,MIN,ZAF,0.04964408763997521
EU27,MIN,RUS,0.04367451958393232
EU27,MIN,SAU,0.031396862169499384
EU27,MIN,AUS,0.05049327754048086
EU27,MIN,ROW,0.019432106060789024
EU27,ENR,CHN,0.017576977711313325
EU27,ENR,USA,0.0408894158015213
EU27,ENR,EU27,0.0
EU27,ENR,JPN,0.004821553447605365
EU27,ENR,KOR,0.007123496400855022
EU27,ENR,IND,0.013236095183944373
EU27,ENR,CAN,0.010652886987221378
EU27,ENR,MEX,0.00015287203096478948
EU27,ENR,BRA,0.047867847882883945
EU27,ENR,ZAF,0.04964408763997521
EU27,ENR,RUS,0.04367451958393232
EU27,ENR,SAU,0.031396862169499384
EU27,ENR,AUS,0.05049327754048086
EU27,ENR,ROW,0.019432106060789024
EU27,CHM,CHN,0.022748852125287305
EU27,CHM,USA,0.0408894158015213
EU27,CHM,EU27,0.0
EU27,CHM,JPN,0.012251899195083522
EU27,CHM,KOR,0.011112688553755096
EU27,CHM,IND,0.02593048207095801
EU27,CHM,CAN,0.010652886987221378
EU27,CHM,MEX,0.004985113395387207
EU27,CHM,BRA,0.047867847882883945
EU27,CHM,ZAF,0.04964408763997521
EU27,CHM,RUS,0.04367451958393232
EU27,CHM,SAU,0.031396862169499384
EU27,CHM,AUS,0.05049327754048086
EU27,CHM,ROW,0.019432106060789024
EU27,TXL,CHN,0.025504773480295423
EU27,TXL,USA,0.0408894158015213
EU27,TXL,EU27,0.0
EU27,TXL,JPN,0.04242493816109269
EU27,TXL,KOR,0.016983859449820855
EU27,TXL,IND,0.031261581482034666
EU27,TXL,CAN,0.010652886987221378
EU27,TXL,MEX,0.024966230897644534
EU27,TXL,BRA,0.047867847882883945
EU27,TXL,ZAF,0.04964408763997521
EU27,TXL,RUS,0.04367451958393232
EU27,TXL,SAU,0.031396862169499384
EU27,TXL,AUS,0.05049327754048086
EU27,TXL,ROW,0.019432106060789024
EU27,WDP,CHN,0.012466271286851602
EU27,WDP,USA,0.0408894158015213
EU27,WDP,EU27,0.0
EU27,WDP,JPN,0.007499494491854647
EU27,WDP,KOR,0.005300321208304309
EU27,WDP,IND,0.026840364720260728
EU27,WDP,CAN,0.010652886987221378
EU27,WDP,MEX,0.00850421255415791
EU27,WDP,BRA,0.047867847882883945
EU27,WDP,ZAF,0.04964408763997521
EU27,WDP,RUS,0.04367451958393232
EU27,WDP,SAU,0.031396862169499384
EU27,WDP,AUS,0.05049327754048086
EU27,WDP,ROW,0.019432106060789024
EU27,NMM,CHN,0.02342219606169067
EU27,NMM,USA,0.0408894158015213
EU27,NMM,EU27,0.0
EU27,NMM,JPN,0.006427139321615384
EU27,NMM,KOR,0.008869497808284558
EU27,NMM,IND,0.028439854882735656
EU27,NMM,CAN,0.010652886987221378
EU27,NMM,MEX,0.010762368978163198
EU27,NMM,BRA,0.047867847882883945
EU27,NMM,ZAF,0.04964408763997521
EU27,NMM,RUS,0.04367451958393232
EU27,NMM,SAU,0.031396862169499384
EU27,NMM,AUS,0.05049327754048086
EU27,NMM,ROW,0.019432106060789024
EU27,MAC,CHN,0.023533307055158163
EU27,MAC,USA,0.0408894158015213
EU27,MAC,EU27,0.0
EU27,MAC,JPN,0.0
EU27,MAC,KOR,0.010484775394644081
EU27,MAC,IND,0.023514691571827805
EU27,MAC,CAN,0.010652886987221378
EU27,MAC,MEX,0.006062175433793007
EU27,MAC,BRA,0.047867847882883945
EU27,MAC,ZAF,0.04964408763997521
EU27,MAC,RUS,0.04367451958393232
EU27,MAC,SAU,0.031396862169499384
EU27,MAC,AUS,0.05049327754048086
EU27,MAC,ROW,0.019432106060789024
EU27,ELE,CHN,0.017942375020833068
EU27,ELE,USA,0.0408894158015213
EU27,ELE,EU27,0.0
EU27,ELE,JPN,0.00044590529186840045
EU27,ELE,KOR,0.00851183199299413
EU27,ELE,IND,0.03078463983312222
EU27,ELE,CAN,0.010652886987221378
EU27,ELE,MEX,0.0073773893031126424
EU27,ELE,BRA,0.047867847882883945
EU27,ELE,ZAF,0.04964408763997521
EU27,ELE,RUS,0.04367451958393232
EU27,ELE,SAU,0.031396862169499384
EU27,ELE,AUS,0.05049327754048086
EU27,ELE,ROW,0.019432106060789024
EU27,VEH,CHN,0.031155678801243102
EU27,VEH,USA,0.0408894158015213
EU27,VEH,EU27,0.0
EU27,VEH,JPN,0.00030477180056731504
EU27,VEH,KOR,0.010011625738909076
EU27,VEH,IND,0.08301818057928781
EU27,VEH,CAN,0.010652886987221378
EU27,VEH,MEX,0.018714355607361986
EU27,VEH,BRA,0.047867847882883945
EU27,VEH,ZAF,0.04964408763997521
EU27,VEH,RUS,0.04367451958393232
EU27,VEH,SAU,0.031396862169499384
EU27,VEH,AUS,0.05049327754048086
EU27,VEH,ROW,0.019432106060789024
EU27,OTM,CHN,0.021461064399932894
EU27,OTM,USA,0.0408894158015213
EU27,OTM,EU27,0.0
EU27,OTM,JPN,0.005707618186467684
EU27,OTM,KOR,0.008749585918433875
EU27,OTM,IND,0.037889771285152585
EU27,OTM,CAN,0.010652886987221378
EU27,OTM,MEX,0.010647132086909603
EU27,OTM,BRA,0.047867847882883945
EU27,OTM,ZAF,0.04964408763997521
EU27,OTM,RUS,0.04367451958393232
EU27,OTM,SAU,0.031396862169499384
EU27,OTM,AUS,0.05049327754048086
EU27,OTM,ROW,0.019432106060789024
EU27,SRV,CHN,0.0
EU27,SRV,USA,0.0
EU27,SRV,EU27,0.0
EU27,SRV,JPN,0.0
EU27,SRV,KOR,0.0
EU27,SRV,IND,0.0
EU27,SRV,CAN,0.0
EU27,SRV,MEX,0.0
EU27,SRV,BRA,0.0
EU27,SRV,ZAF,0.0
EU27,SRV,RUS,0.0
EU27,SRV,SAU,0.0
EU27,SRV,AUS,0.0
EU27,SRV,ROW,0.0
JPN,AGF,CHN,0.04019203914623782
JPN,AGF,USA,0.0408894158015213
JPN,AGF,EU27,0.02771840777636722
JPN,AGF,JPN,0.0
JPN,AGF,KOR,0.07565666227470713
JPN,AGF,IND,0.10365353595600978
JPN,AGF,CAN,0.010652886987221378
JPN,AGF,MEX,0.02884664690494927
JPN,AGF,BRA,0.047867847882883945
JPN,AGF,ZAF,0.04964408763997521
JPN,AGF,RUS,0.04367451958393232
JPN,AGF,SAU,0.031396862169499384
JPN,AGF,AUS,0.05049327754048086
JPN,AGF,ROW,0.019432106060789024
JPN,MIN,CHN,0.009892834105055112
JPN,MIN,USA,0.0408894158015213
JPN,MIN,EU27,0.0005945700260067711
JPN,MIN,JPN,0.0
JPN,MIN,KOR,0.004240081635678352
JPN,MIN,IND,0.018702745673827653
JPN,MIN,CAN,0.010652886987221378
JPN,MIN,MEX,0.00027102587174712066
JPN,MIN,BRA,0.047867847882883945
JPN,MIN,ZAF,0.04964408763997521
JPN,MIN,RUS,0.04367451958393232
JPN,MIN,SAU,0.031396862169499384
JPN,MIN,AUS,0.05049327754048086
JPN,MIN,ROW,0.019432106060789024
JPN,ENR,CHN,0.017576977711313325
JPN,ENR,USA,0.0408894158015213
JPN,ENR,EU27,0.0032829311375805947
JPN,ENR,JPN,0.0
JPN,ENR,KOR,0.007123496400855022
JPN,ENR,IND,0.013236095183944373
JPN,ENR,CAN,0.010652886987221378
JPN,ENR,MEX,0.00015287203096478948
JPN,ENR,BRA,0.047867847882883945
JPN,ENR,ZAF,0.04964408763997521
JPN,ENR,RUS,0.04367451958393232
JPN,ENR,SAU,0.031396862169499384
JPN,ENR,AUS,0.05049327754048086
JPN,ENR,ROW,0.019432106060789024
JPN,CHM,CHN,0.022748852125287305
JPN,CHM,USA,0.0408894158015213
JPN,CHM,EU27,0.0180282187162749
JPN,CHM,JPN,0.0
JPN,CHM,KOR,0.011112688553755096
JPN,CHM,IND,0.02593048207095801
JPN,CHM,CAN,0.010652886987221378
JPN,CHM,MEX,0.004985113395387207
JPN,CHM,BRA,0.047867847882883945
JPN,CHM,ZAF,0.04964408763997521
JPN,CHM,RUS,0.04367451958393232
JPN,CHM,SAU,0.031396862169499384
JPN,CHM,AUS,0.05049327754048086
JPN,CHM,ROW,0.019432106060789024
JPN,TXL,CHN,0.025504773480295423
JPN,TXL,USA,0.0408894158015213
JPN,TXL,EU27,0.030044299015337582
JPN,TXL,JPN,0.0
JPN,TXL,KOR,0.016983859449820855
JPN,TXL,IND,0.031261581482034666
JPN,TXL,CAN,0.010652886987221378
JPN,TXL,MEX,0.024966230897644534
JPN,TXL,BRA,0.047867847882883945
JPN,TXL,ZAF,0.04964408763997521
JPN,TXL,RUS,0.04367451958393232
JPN,TXL,SAU,0.031396862169499384
JPN,TXL,AUS,0.05049327754048086
JPN,TXL,ROW,0.019432106060789024
JPN,WDP,CHN,0.012466271286851602
JPN,WDP,USA,0.0408894158015213
JPN,WDP,EU27,0.00427333320509086
JPN,WDP,JPN,0.0
JPN,WDP,KOR,0.005300321208304309
JPN,WDP,IND,0.026840364720260728
JPN,WDP,CAN,0.010652886987221378
JPN,WDP,MEX,0.00850421255415791
JPN,WDP,BRA,0.047867847882883945
JPN,WDP,ZAF,0.04964408763997521
JPN,WDP,RUS,0.04367451958393232
JPN,WDP,SAU,0.031396862169499384
JPN,WDP,AUS,0.05049327754048086
JPN,WDP,ROW,0.019432106060789024
JPN,NMM,CHN,0.02342219606169067
JPN,NMM,USA,0.0408894158015213
JPN,NMM,EU27,0.009370241641696574
JPN,NMM,JPN,0.0
JPN,NMM,KOR,0.008869497808284558
JPN,NMM,IND,0.028439854882735656
JPN,NMM,CAN,0.010652886987221378
JPN,NMM,MEX,0.010762368978163198
JPN,NMM,BRA,0.047867847882883945
JPN,NMM,ZAF,0.04964408763997521
JPN,NMM,RUS,0.04367451958393232
JPN,NMM,SAU,0.031396862169499384
JPN,NMM,AUS,0.05049327754048086
JPN,NMM,ROW,0.019432106060789024
JPN,MAC,CHN,0.023533307055158163
JPN,MAC,USA,0.0408894158015213
JPN,MAC,EU27,0.007331254624166747
JPN,MAC,JPN,0.0
JPN,MAC,KOR,0.010484775394644081
JPN,MAC,IND,0.023514691571827805
JPN,MAC,CAN,0.010652886987221378
JPN,MAC,MEX,0.006062175433793007
JPN,MAC,BRA,0.047867847882883945
JPN,MAC,ZAF,0.04964408763997521
JPN,MAC,RUS,0.04367451958393232
JPN,MAC,SAU,0.031396862169499384
JPN,MAC,AUS,0.05049327754048086
JPN,MAC,ROW,0.019432106060789024
JPN,ELE,CHN,0.017942375020833068
JPN,ELE,USA,0.0408894158015213
JPN,ELE,EU27,0.00791646728872309
JPN,ELE,JPN,0.0
JPN,ELE,KOR,0.00851183199299413
JPN,ELE,IND,0.03078463983312222
JPN,ELE,CAN,0.010652886987221378
JPN,ELE,MEX,0.0073773893031126424
JPN,ELE,BRA,0.047867847882883945
JPN,ELE,ZAF,0.04964408763997521
JPN,ELE,RUS,0.04367451958393232
JPN,ELE,SAU,0.031396862169499384
JPN,ELE,AUS,0.05049327754048086
JPN,ELE,ROW,0.019432106060789024
