input,region,output,value
NMM,USA,SRV,0.01046324765897159
MAC,USA,SRV,0.001723992854581675
ELE,USA,SRV,0.005266600331264035
VEH,USA,SRV,0.0026552207870457843
OTM,USA,SRV,0.002929272105693946
SRV,USA,SRV,0.35001702030379184
AGF,EU27,AGF,0.2941180351957017
MIN,EU27,AGF,0.0005303801780305508
ENR,EU27,AGF,0.018024824509276244
CHM,EU27,AGF,0.047804381993199585
TXL,EU27,AGF,0.00101760625876865
WDP,EU27,AGF,0.014182623533920708
NMM,EU27,AGF,0.01604772853360223
MAC,EU27,AGF,0.004489756340622839
ELE,EU27,AGF,0.0035687678954612954
VEH,EU27,AGF,0.001829123337493039
OTM,EU27,AGF,0.008859263101455447
SRV,EU27,AGF,0.3155600490340893
AGF,EU27,MIN,0.002269859441008411
MIN,EU27,MIN,0.03314163146999893
ENR,EU27,MIN,0.036640602099491756
CHM,EU27,MIN,0.024646479816257953
TXL,EU27,MIN,0.000907392781666576
WDP,EU27,MIN,0.0030121028717737895
NMM,EU27,MIN,0.02086623674523231
MAC,EU27,MIN,0.01354886271197695
ELE,EU27,MIN,0.006679300800533695
VEH,EU27,MIN,0.003031460788474169
OTM,EU27,MIN,0.015249512071334358
SRV,EU27,MIN,0.2885444803051071
AGF,EU27,ENR,0.0016327940916584598
MIN,EU27,ENR,0.007768465084168035
ENR,EU27,ENR,0.6034767346242249
CHM,EU27,ENR,0.02760191994546696
TXL,EU27,ENR,0.000253304126589227
WDP,EU27,ENR,0.0008955558433059393
NMM,EU27,ENR,0.004655383808023282
MAC,EU27,ENR,0.003686068395259972
ELE,EU27,ENR,0.0019170332739695893
VEH,EU27,ENR,0.0008681870400524024
OTM,EU27,ENR,0.005004629861796523
SRV,EU27,ENR,0.20143604447444685
AGF,EU27,CHM,0.010850843908543151
MIN,EU27,CHM,0.001966821929979453
ENR,EU27,CHM,0.05383869693636204
CHM,EU27,CHM,0.2705208371970832
TXL,EU27,CHM,0.0023819386073374313
WDP,EU27,CHM,0.007840196062255634
NMM,EU27,CHM,0.01744905293773235
MAC,EU27,CHM,0.004709919038658434
ELE,EU27,CHM,0.005186854690583359
VEH,EU27,CHM,0.0022451432053370956
OTM,EU27,CHM,0.006988849613842566
SRV,EU27,CHM,0.2938044797868075
AGF,EU27,TXL,0.019025787807924206
MIN,EU27,TXL,0.00024081986289916247
ENR,EU27,TXL,0.00751138157936184
CHM,EU27,TXL,0.08354232655751023
TXL,EU27,TXL,0.22614575322509517
WDP,EU27,TXL,0.009257225585318232
NMM,EU27,TXL,0.01152247675464847
